DICIONARIO DE NICKS (B4): CORRELACAO ALFABETICA COM NOME REAL,,,
#,NICK (B4),NOME REAL,DOMINIO
249,MODU,FORMULA MODULACAO ANSIEDADE BASE,FORM
250,MORF,ULTRASSOM MORFOLOGICO,EXAM
251,MSMX,MSM - METILSULFONILMETANO (1500 MG),INJE
252,MTCB,METILCOBALAMINA (25 MG),INJE
253,MTH1,MTHFR C677T,EXAM
254,MTHF,MTHFR A1298C,EXAM
255,MTRR,MTRR,EXAM
256,MTRX,MTR,EXAM
257,MYCO,MYCOPLASMA POR PCR,EXAM
258,NACE,N-ACETIL CISTEINA (300 MG),INJE
259,NADH,NADH PELLET,IMPL
260,NALT,NALTREXONA PELLET,IMPL
261,NASO,NASOFIBROSCOPIA,EXAM
262,NEIS,NEISSERIA GONORRHOEAE POR PCR,EXAM
263,NGAL,NGAL,EXAM
264,OBST,ULTRASSOM OBSTETRICO,EXAM
265,OKGL,OKG - L-ORNITINA ALFA CETOGLUTARATO (200 MG),INJE
266,OMG3,INDICE DE OMEGA 3 ERITROCITARIO,EXAM
267,OPR1,OPRM1,EXAM
268,OXID,SORO ANTIOXIDANTE PADRAO,ENDO
269,PCRU,PCR US,EXAM
270,PELE,SORO PELE CABELO UNHAS,ENDO
271,PENK,PENK / PROENCEFALINA,EXAM
272,PENT,PENTOXIFILINA (100 MG),INJE
273,PERF,PERFIL DE ACIDOS GRAXOS,EXAM
274,PERO,PEROXIDO DE HIDROGENIO (150 MG),INJE
275,PHEN,PHENIBUT (50 MG),INJE
276,PILL,PILL FOOD (10 MG),INJE
277,PIRA,PIRACETAM (500 MG),INJE
278,POO1,POOL ARTROSE (10 MG),INJE
279,POO2,POOL AUMENTO DE MASSA (10 MG),INJE
280,POO3,POOL CAPILAR (5 MG),INJE
281,POO4,POOL COGNITIVO (330 MG),INJE
282,POO5,"POOL DE MINERAIS (0,7 MG)",INJE
283,POO6,POOL METILADOR (30 MG),INJE
284,POO7,POOL VITAMINAS HIDROSSOLUVEIS (1MG),INJE
285,POOL,POOL AMINOACIDOS (27 MG),INJE
286,PORT,PORTFOLIO BIOPROLIN (10 MG),INJE
287,PQQP,PQQ - PIRROLOQUINOLINO QUINONA (5 MG),INJE
288,PREG,PREGNENOLONA PELLET,IMPL
289,PRET,FORMULA PRE TREINO SUPORTE,FORM
290,PRGS,PROGESTERONA SALIVAR,EXAM
291,PRO1,PROTEINA S LIVRE,EXAM
292,PROC,"CLORIDRATO DE PROCAINA 0,7% (350 MG)",INJE
293,PROG,PROGESTERONA,EXAM
294,PROL,PROLACTINA,EXAM
295,PROT,PROTEINA C FUNCIONAL,EXAM
296,PSAL,PSA LIVRE,EXAM
297,PSAT,PSA TOTAL,EXAM
298,PTHX,PTH,EXAM
299,RAI1,RAIO X DE ARTICULACOES,EXAM
300,RAI2,RAIO X DE COLUNA,EXAM
301,RAI3,RAIO X DE TORAX,EXAM
302,RAIO,RAIO X DE ABDOME,EXAM
303,RECU,SORO RECUPERACAO MUSCULAR,ENDO
304,RELA,RELACAO AA / EPA,EXAM
305,RENI,RENINA,EXAM
306,REPO,FORMULA REPOSICAO MINERAL BASE,FORM
307,RESV,RESVERATROL (100 MG),INJE
308,RTSG,RETOSSIGMOIDOSCOPIA,EXAM
309,RUTI,"RUTINA + BENZOPIRONA (0,15 MG)",INJE
310,SAME,SAME (200 MG),INJE
311,SATU,SATURACAO DE TRANSFERRINA,EXAM
312,SELE,SELENIO (80 MCG),INJE
313,SHBG,SHBG,EXAM
314,SILO,SILICIO (20 MG),INJE
315,SITA,SITAGLIPTINA PELLET,IMPL
316,SLCO,SLCO1B1,EXAM
317,SONO,FORMULA SONO E RECUPERACAO,FORM
318,SUL1,SULFATO DE MANGANES (20 MG),INJE
319,SULF,"SULFATO DE COBRE (0,5 MG)",INJE
320,SUP1,FORMULA SUPORTE METABOLICO,FORM
321,SUP2,FORMULA SUPORTE TIREOIDE MODULACAO BASE,FORM
322,SUPO,FORMULA SUPORTE CAPILAR BASE,FORM
323,T3LV,T3 LIVRE,EXAM
324,T3RV,T3 REVERSO,EXAM
325,T3T4,T3+T4 PELLET,IMPL
326,T4LV,T4 LIVRE,EXAM
327,TADA,TADALAFIL PELLET,IMPL
328,TAPX,TAP,EXAM
329,TAUR,INOSITOL + TAURINA (200 MG),INJE
330,TEAC,TEACRINA (50 MG),INJE
331,TERG,TESTE ERGOMETRICO,EXAM
332,TESL,TESTOSTERONA LIVRE,EXAM
333,TESS,TESTOSTERONA SALIVAR,EXAM
334,TEST,TESTOSTERONA TOTAL,EXAM
335,TFGE,TFG ESTIMADA eGFR,EXAM
336,TGOX,TGO,EXAM
337,TGPX,TGP,EXAM
338,TGXX,TG,EXAM
339,THER,THERMAVIX (50 MG),INJE
340,TIMO,TIMOMODULINA (50 MG),INJE
341,TIPA,TIPAGEM SANGUINEA ABO RH,EXAM
342,TIRG,TIREOGLOBULINA,EXAM
343,TPMT,TPMT,EXAM
344,TRAB,TRAB,EXAM
345,TRIC,TRICHOMONAS VAGINALIS POR PCR,EXAM
346,TRIP,L-TRIPTOFANO (100 MG),INJE
347,TSHX,TSH,EXAM
348,TTPA,TTPA,EXAM
349,UDAR,ULTRASSOM DOPPLER ARTERIAL,EXAM
350,UDVE,ULTRASSOM DOPPLER VENOSO,EXAM
351,UGT1,UGT1A1,EXAM
352,UPEL,ULTRASSOM PELVICO,EXAM
353,UREA,UREAPLASMA POR PCR,EXAM
354,UREI,UREIA,EXAM
355,UTRT,ULTRASSOM TRANSRETAL,EXAM
356,UTRV,ULTRASSOM TRANSVAGINAL,EXAM
357,VANA,VANADIO (50 MCG),INJE
358,VB12,VITAMINA B12,EXAM
359,VDRL,VDRL,EXAM
360,VDRX,VDR,EXAM
361,VHSX,VHS,EXAM
362,VITA,VITAMINA A,EXAM
363,VITC,VITAMINA C,EXAM
364,VITD,VITAMINA D,EXAM
365,VITE,VITAMINA E,EXAM
366,VITK,VITAMINA K1 (FITOMENADIONA) (10 MG),INJE
367,VKOR,VKORC1,EXAM
368,VTB1,VITAMINA B1 (TIAMINA) (100 MG),INJE
369,VTB2,VITAMINA B2 (RIBOFLAVINA) (50 MG),INJE
370,VTB3,VITAMINA B3 (NIACINAMIDA) (30 MG),INJE
371,VTB5,VITAMINA B5 (D-PANTENOL) (40 MG),INJE
372,VTB6,"VITAMINA B6 (PIRIDOXINA, CLORIDRATO) (100 MG)",INJE
373,ZINC,ZINCO,EXAM
