EXAMES: VISAO EXAME -> GRADE -> BLOCO (FUNIL ABRINDO),,,,,,,,,,,,,,
#,NOME DO EXAME,CODIGO V4.0,B4 (NICK),GRADE EXCLUSIVA,BLOCO,BLOCO NOME,B1,B2,B3,SEQ,GRUPO,SUBGRUPO,MODALIDADE,CODIGO ANTIGO
64,CORTISOL SALIVAR - A NOITE - ENTRE 20:00 E 23:00 H,EXAM SALA GBAS CORT 0001,CORT,GRADE BASICA,BLK009,BLOCO SALIVAR ADRENAL,EXAM,SALA,GBAS,0001,,,,
65,CORTISOL SALIVAR - A TARDE - ENTRE 16:00 E 18:00 H,EXAM SALA GBAS COR1 0001,COR1,GRADE BASICA,BLK009,BLOCO SALIVAR ADRENAL,EXAM,SALA,GBAS,0001,,,,
66,CORTISOL SALIVAR - AO ACORDAR - ENTRE 05:00 E 08:00 H,EXAM SALA GBAS COR2 0001,COR2,GRADE BASICA,BLK009,BLOCO SALIVAR ADRENAL,EXAM,SALA,GBAS,0001,,,,
67,CORTISOL SALIVAR - MADRUGADA - ENTRE 02:00 E 04:00 H,EXAM SALA GBAS COR3 0001,COR3,GRADE BASICA,BLK009,BLOCO SALIVAR ADRENAL,EXAM,SALA,GBAS,0001,,,,
68,CREATININA,EXAM BINT GBAS CREA 0001,CREA,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
69,CTLF / TIBC,EXAM DABS GBAS CTLF 0001,CTLF,GRADE BASICA,BLK010,BLOCO DEFICIENCIA ABSORCAO,EXAM,DABS,GBAS,0001,,,,
70,CYP2C19,EXAM FARM GBAS C219 0001,C219,GRADE BASICA,BLK019,BLOCO FARMACOGENETICA,EXAM,FARM,GBAS,0001,,,,
71,CYP2C9,EXAM FARM GBAS CYP2 0001,CYP2,GRADE BASICA,BLK019,BLOCO FARMACOGENETICA,EXAM,FARM,GBAS,0001,,,,
72,CYP2D6,EXAM FARM GBAS C2D6 0001,C2D6,GRADE BASICA,BLK019,BLOCO FARMACOGENETICA,EXAM,FARM,GBAS,0001,,,,
73,CYP3A4,EXAM FARM GINT C3A4 0001,C3A4,GRADE INTERMEDIARIA,BLK019,BLOCO FARMACOGENETICA,EXAM,FARM,GINT,0001,,,,
74,CYP3A5,EXAM FARM GINT CYP3 0001,CYP3,GRADE INTERMEDIARIA,BLK019,BLOCO FARMACOGENETICA,EXAM,FARM,GINT,0001,,,,
75,D DIMERO,EXAM TROM GBAS DDIM 0001,DDIM,GRADE BASICA,BLK011,BLOCO TROMBOSE,EXAM,TROM,GBAS,0001,,,,
76,DENSITOMETRIA OSSEA,EXAM DENS SGRD DOSS 0001,DOSS,SEM GRADE,BLK031,BLOCO DENSITOMETRIA,EXAM,DENS,SGRD,0001,,,,
77,DHEA S,EXAM ADRE GBAS DHES 0001,DHES,GRADE BASICA,BLK008,BLOCO ADRENAL ESPECIFICO,EXAM,ADRE,GBAS,0001,,,,
78,DHT,EXAM GONA GINT DHTX 0001,DHTX,GRADE INTERMEDIARIA,BLK006,BLOCO GONADAL,EXAM,GONA,GINT,0001,,,,
79,DOPPLER DE CAROTIDAS,EXAM CIMG SGRD DOPP 0001,DOPP,SEM GRADE,BLK027,BLOCO CARDIOLOGICOS DE IMAGEM,EXAM,CIMG,SGRD,0001,,,,
80,ECOCARDIOGRAMA COM STRESS,EXAM CIMG SGRD ECOC 0001,ECOC,SEM GRADE,BLK027,BLOCO CARDIOLOGICOS DE IMAGEM,EXAM,CIMG,SGRD,0001,,,,
81,ECOCARDIOGRAMA TRANSTORACICO,EXAM CIMG SGRD ECO1 0001,ECO1,SEM GRADE,BLK027,BLOCO CARDIOLOGICOS DE IMAGEM,EXAM,CIMG,SGRD,0001,,,,
82,ELETROCARDIOGRAMA,EXAM CIMG SGRD ECGX 0001,ECGX,SEM GRADE,BLK027,BLOCO CARDIOLOGICOS DE IMAGEM,EXAM,CIMG,SGRD,0001,,,,
83,ELETROFORESE DE LIPOPROTEINAS,EXAM CARD GSOF ELET 0001,ELET,GRADE SOFISTICADA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GSOF,0001,,,,
84,ELF SCORE,EXAM HEPA GINT ELFS 0001,ELFS,GRADE INTERMEDIARIA,BLK004,BLOCO HEPATICO ESPECIFICO,EXAM,HEPA,GINT,0001,,,,
85,ENDOSCOPIA DIGESTIVA ALTA,EXAM NDSC SGRD ENDA 0001,ENDA,SEM GRADE,BLK028,BLOCO ENDOSCOPICOS,EXAM,NDSC,SGRD,0001,,,,
86,ESTRADIOL,EXAM GONA GBAS ESTR 0001,ESTR,GRADE BASICA,BLK006,BLOCO GONADAL,EXAM,GONA,GBAS,0001,,,,
87,ESTRADIOL SALIVAR,EXAM SHOM GBAS ESRS 0001,ESRS,GRADE BASICA,BLK023,BLOCO SALIVAR HORMONAL,EXAM,SHOM,GBAS,0001,,,,
88,FA,EXAM BINT GBAS FOAL 0001,FOAL,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
89,FAN,EXAM AUTO GBAS FANX 0001,FANX,GRADE BASICA,BLK017,BLOCO AUTOIMUNE,EXAM,AUTO,GBAS,0001,,,,
90,FATOR V LEIDEN E MUTACAO DA PROTROMBINA,EXAM TROM GAMP FATO 0001,FATO,GRADE AMPLIADA,BLK011,BLOCO TROMBOSE,EXAM,TROM,GAMP,0001,,,,
91,FERRITINA,EXAM BINT GBAS FERR 0001,FERR,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
92,FERRO SERICO,EXAM BINT GBAS FESE 0001,FESE,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
93,FIB 4,EXAM HEPA GBAS FIB4 0001,FIB4,GRADE BASICA,BLK004,BLOCO HEPATICO ESPECIFICO,EXAM,HEPA,GBAS,0001,,,,
94,FIBRINOGENIO,EXAM COAG GINT FIBR 0001,FIBR,GRADE INTERMEDIARIA,BLK012,BLOCO COAGULOGRAMA,EXAM,COAG,GINT,0001,,,,
95,FIBROTEST,EXAM HEPA GINT FIBR 0001,FIBR,GRADE INTERMEDIARIA,BLK004,BLOCO HEPATICO ESPECIFICO,EXAM,HEPA,GINT,0001,,,,
96,FOLATO,EXAM VITA GBAS AFOL 0001,AFOL,GRADE BASICA,BLK021,BLOCO VITAMINAS,EXAM,VITA,GBAS,0001,,,,
97,FRUTOSAMINA,EXAM GLIC GAMP FRUT 0001,FRUT,GRADE AMPLIADA,BLK003,BLOCO GLICEMICO INSULINICO,EXAM,GLIC,GAMP,0001,,,,
98,FSH,EXAM GONA GBAS FSHX 0001,FSHX,GRADE BASICA,BLK006,BLOCO GONADAL,EXAM,GONA,GBAS,0001,,,,
99,FTA ABS IGG,EXAM DSTX GINT FTAA 0001,FTAA,GRADE INTERMEDIARIA,BLK016,BLOCO DST,EXAM,DSTX,GINT,0001,,,,
100,FTA ABS IGM,EXAM DSTX GINT FTA1 0001,FTA1,GRADE INTERMEDIARIA,BLK016,BLOCO DST,EXAM,DSTX,GINT,0001,,,,
101,FTO,EXAM GENE GSOF FTOX 0001,FTOX,GRADE SOFISTICADA,BLK018,BLOCO GENETICA POLIMORFISMOS,EXAM,GENE,GSOF,0001,,,,
102,GAMA GT,EXAM BINT GBAS GGTP 0001,GGTP,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
103,GENOTIPAGEM APO E,EXAM CARD GSOF GENO 0001,GENO,GRADE SOFISTICADA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GSOF,0001,,,,
104,GLICEMIA DE JEJUM,EXAM GLIC GBAS GLIJ 0001,GLIJ,GRADE BASICA,BLK003,BLOCO GLICEMICO INSULINICO,EXAM,GLIC,GBAS,0001,,,,
105,HBsAg,EXAM DSTX GBAS HBSA 0001,HBSA,GRADE BASICA,BLK016,BLOCO DST,EXAM,DSTX,GBAS,0001,,,,
